-0.286432 -0.577443 -0.309639 0.267805 -0.333718 0.243725
-0.276382 -0.557829 -0.273093 0.284736 -0.297046 0.260783
-0.266332 -0.467732 -0.237188 0.230545 -0.260319 0.207413
-0.256281 -0.327038 -0.202221 0.124816 -0.223801 0.103237
-0.246231 -0.168131 -0.168469 0.000338 -0.187754 0.019623
-0.236181 -0.027897 -0.136186 0.108289 -0.152442 0.124544
-0.226131 0.061404 -0.105605 0.167009 -0.118127 0.179530
-0.216080 0.080110 -0.076931 0.157041 -0.085072 0.165182
-0.206030 0.026020 -0.050346 0.076366 -0.053541 0.079561
-0.195980 -0.085065 -0.026004 0.059061 -0.029746 0.055319
-0.185930 -0.223243 -0.004028 0.219215 -0.016773 0.206470
-0.175879 -0.351913 0.015483 0.367396 -0.005608 0.346305
-0.165829 -0.436817 0.032461 0.469278 0.003847 0.440664
-0.155779 -0.454515 0.046866 0.501381 0.011690 0.466206
-0.145729 -0.398180 0.058686 0.456866 0.018019 0.416199
-0.135678 -0.279283 0.067939 0.347222 0.022932 0.302215
-0.125628 -0.124764 0.074667 0.199431 0.026525 0.151289
-0.115578 0.029635 0.078940 0.049305 0.028897 0.000738
-0.105528 0.148206 0.080854 0.067352 0.030146 0.118061
-0.095477 0.204101 0.080527 0.123573 0.030369 0.173732
-0.085427 0.185970 0.078102 0.107869 0.029663 0.156307
-0.075377 0.100771 0.073739 0.027032 0.028127 0.072644
-0.065327 -0.027955 0.067621 0.095576 0.025859 0.053814
-0.055276 -0.165904 0.059945 0.225849 0.022955 0.188859
-0.045226 -0.276487 0.050925 0.327412 0.019514 0.296001
-0.035176 -0.329883 0.040788 0.370671 0.015634 0.345516
-0.025126 -0.310407 0.029770 0.340177 0.011411 0.321818
-0.015075 -0.220392 0.018118 0.238510 0.006944 0.227337
-0.005025 -0.079611 0.006082 0.085693 0.002331 0.081942
0.005025 0.079611 -0.006082 0.085693 -0.002331 0.081942
0.015075 0.220392 -0.018118 0.238510 -0.006944 0.227337
0.025126 0.310407 -0.029770 0.340177 -0.011411 0.321818
0.035176 0.329883 -0.040788 0.370671 -0.015634 0.345516
0.045226 0.276487 -0.050925 0.327412 -0.019514 0.296001
0.055276 0.165904 -0.059945 0.225849 -0.022955 0.188859
0.065327 0.027955 -0.067621 0.095576 -0.025859 0.053814
0.075377 -0.100771 -0.073739 0.027032 -0.028127 0.072644
0.085427 -0.185970 -0.078102 0.107869 -0.029663 0.156307
0.095477 -0.204101 -0.080527 0.123573 -0.030369 0.173732
0.105528 -0.148206 -0.080854 0.067352 -0.030146 0.118061
0.115578 -0.029635 -0.078940 0.049305 -0.028897 0.000738
0.125628 0.124764 -0.074667 0.199431 -0.026525 0.151289
0.135678 0.279283 -0.067939 0.347222 -0.022932 0.302215
0.145729 0.398180 -0.058686 0.456866 -0.018019 0.416199
0.155779 0.454515 -0.046866 0.501381 -0.011690 0.466206
0.165829 0.436817 -0.032461 0.469278 -0.003847 0.440664
0.175879 0.351913 -0.015483 0.367396 0.005608 0.346305
0.185930 0.223243 0.004028 0.219215 0.016773 0.206470
0.195980 0.085065 0.026004 0.059061 0.029746 0.055319
0.206030 -0.026020 0.050346 0.076366 0.053541 0.079561
0.216080 -0.080110 0.076931 0.157041 0.085072 0.165182
0.226131 -0.061404 0.105605 0.167009 0.118127 0.179530
0.236181 0.027897 0.136186 0.108289 0.152442 0.124544
0.246231 0.168131 0.168469 0.000338 0.187754 0.019623
0.256281 0.327038 0.202221 0.124816 0.223801 0.103237
0.266332 0.467732 0.237188 0.230545 0.260319 0.207413
0.276382 0.557829 0.273093 0.284736 0.297046 0.260783
0.286432 0.577443 0.309639 0.267805 0.333718 0.243725
0.296482 0.524112 0.346513 0.177600 0.370073 0.154039
0.306533 0.413401 0.383386 0.030015 0.405847 0.007554
0.316583 0.275055 0.419918 0.144863 0.440778 0.165723
0.326633 0.145644 0.455759 0.310115 0.474603 0.328958
0.336683 0.059522 0.490554 0.431032 0.507058 0.447535
0.346734 0.040331 0.523944 0.483614 0.537880 0.497549
0.356784 0.095156 0.555574 0.460418 0.566807 0.471652
0.366834 0.212773 0.585090 0.372317 0.593576 0.380803
0.376884 0.366425 0.612150 0.245725 0.617923 0.251498
0.386935 0.520436 0.636424 0.115988 0.639586 0.119150
0.396985 0.639031 0.657598 0.018568 0.658301 0.019271
0.407035 0.695183 0.675382 0.019801 0.655850 0.039333
0.417085 0.677295 0.689508 0.012213 0.642639 0.034656
0.427136 0.592065 0.699742 0.107677 0.626716 0.034651
0.437186 0.462833 0.705882 0.243049 0.608420 0.145587
0.447236 0.323806 0.707764 0.383959 0.588090 0.264284
0.457286 0.211604 0.705270 0.493667 0.566066 0.354462
0.467337 0.156202 0.698327 0.542124 0.542687 0.386485
0.477387 0.173523 0.686912 0.513389 0.518292 0.344769
0.487437 0.261495 0.671060 0.409565 0.493221 0.231726
0.497487 0.400568 0.650862 0.250294 0.467813 0.067245
0.507538 0.558544 0.626471 0.067927 0.442407 0.116137
0.517588 0.698542 0.598105 0.100437 0.417344 0.281198
0.527638 0.788111 0.566048 0.222062 0.392961 0.395150
0.537688 0.807257 0.530655 0.276602 0.369599 0.437659
0.547739 0.753388 0.492349 0.261039 0.347596 0.405791
0.557789 0.641948 0.451625 0.190323 0.327293 0.314655
0.567839 0.502605 0.409049 0.093556 0.309028 0.193577
0.577889 0.371913 0.365260 0.006653 0.293142 0.078771
0.587940 0.284272 0.320963 0.036691 0.279972 0.004300
0.597990 0.263426 0.276934 0.013509 0.269859 0.006433
0.608040 0.316588 0.234010 0.082578 0.284549 0.032038
0.618090 0.432659 0.193088 0.239571 0.307829 0.124830
0.628141 0.584974 0.155122 0.429852 0.334035 0.250939
0.638191 0.737889 0.121109 0.616780 0.362869 0.375019
0.648241 0.855598 0.092089 0.763509 0.394033 0.461565
0.658291 0.910986 0.069131 0.841855 0.427227 0.483759
0.668342 0.892330 0.053322 0.839008 0.462153 0.430176
0.678392 0.806200 0.045756 0.760443 0.498513 0.307686
0.688442 0.675834 0.047520 0.628314 0.536009 0.139825
0.698492 0.535390 0.059673 0.475717 0.574341 0.038951
0.708543 0.421503 0.083234 0.338269 0.613210 0.191707
0.718593 0.364227 0.119157 0.245070 0.652320 0.288093
0.728643 0.379600 0.168311 0.211289 0.691370 0.311770
0.738693 0.465683 0.231453 0.234230 0.730063 0.264380
0.748744 0.603037 0.309200 0.293837 0.768100 0.165063
0.758794 0.759528 0.402001 0.357528 0.805182 0.045653
0.768844 0.898277 0.510101 0.388176 0.841010 0.057267
0.778894 0.986771 0.633509 0.353262 0.875287 0.111483
0.788945 1.004906 0.771952 0.232954 0.907714 0.097192
0.798995 0.949957 0.924840 0.025117 0.937992 0.011965
0.809045 0.837253 1.091215 0.253963 0.946635 0.109382
0.819095 0.696382 1.269704 0.573322 0.950775 0.254393
0.829146 0.563880 1.458463 0.894583 0.952674 0.388795
0.839196 0.474195 1.655121 1.180927 0.952458 0.478263
0.849246 0.451170 1.856722 1.405552 0.950249 0.499079
0.859296 0.502149 2.059651 1.557503 0.946173 0.444024
0.869347 0.616157 2.259573 1.643416 0.940354 0.324197
0.879397 0.766620 2.451351 1.684730 0.932917 0.166297
0.889447 0.917929 2.628967 1.711038 0.923987 0.006058
0.899497 1.034246 2.785441 1.751196 0.913686 0.120559
0.909548 1.088367 2.912737 1.824370 0.902141 0.186225
0.919598 1.068446 3.001665 1.933219 0.889476 0.178970
0.929648 0.980924 3.041784 2.060861 0.875815 0.105109
0.939698 0.848936 3.021292 2.172356 0.861282 0.012347
0.949749 0.706592 2.926908 2.220316 0.846003 0.139411
0.959799 0.590542 2.743757 2.153215 0.830101 0.239559
0.969849 0.530914 2.455240 1.924326 0.813701 0.282787
0.979899 0.543866 2.042898 1.499032 0.796928 0.253062
0.989950 0.627590 1.486274 0.858684 0.779905 0.152315
1.000000 0.762759 0.762759 0.000000 0.762759 0.000000
